"Account Name","Vertical","Status","ABC ID","Date"
"Carrie Judy, MD","Medical","Cancelled","","05/09/2013 06:28 AM"
"Carromatic","US Automotive","Deploying","","05/04/2016 01:57 PM"
"Carr Subaru","US Automotive","Tracking","",""
"Carr Vancouver - Cadillac Buick GMC","US Automotive","Deploying","","01/17/2016 05:51 PM"
"Carr Vancouver Cadillac GMC Buick","US Automotive","Tracking","",""
"CarSmart","US Automotive","Deploying","","05/04/2016 02:02 PM"
"Carson Honda","US Automotive","Tracking","","09/16/2014 03:52 AM"
"CARSON HONDA","US Automotive","Deploying","","10/07/2014 12:24 AM"
"Carson Hyundai","US Automotive","Deploying","","10/28/2014 12:59 AM"
"Carson Nissan","US Automotive","Live","","06/26/2015 07:51 AM"
"Carson Plaza Hotel","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Carson Toyota","US Automotive","Live","","09/25/2015 10:19 AM"
"Car Source","US Automotive","Deploying","","10/21/2015 02:37 AM"
"Cars Plus Credit","US Automotive","Deploying","","04/28/2016 04:01 AM"
"Carstairs RV Centre","Powersports","Tracking","",""
"Carter Chevrolet of Manchester","US Automotive","Live","","01/08/2015 08:15 AM"
"Cartersville Inn & Suites","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Cartersville North Inn -  62941172","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Car X","US Automotive","Deploying","","04/09/2015 07:55 PM"
"Car Zone","US Automotive","Tracking","","01/29/2013 01:47 AM"
"Car Zone Dover","US Automotive","Deploying","","04/28/2016 01:54 AM"
"Casa Bella Inn","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Casablanca Hotel On The Ocean Miami Beach","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Casablanca Hotel On The Ocean Miami Beach - 9192731","Hotels","Cancelled","","01/05/2015 05:49 AM"
"Casablanca Inn and Bistro","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Casa Chevrolet","US Automotive","Tracking","","05/19/2014 04:16 AM"
"CASA DE CADILLAC BUICK GMC SHERMAN OAKS","US Automotive","Deploying","","05/08/2016 06:58 PM"
"Casa De Las Chimeneas Taos","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Casa del Mar","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Casa Verde Inn","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Cascade Autocenter","US Automotive","Live","","11/23/2015 04:45 AM"
"Cascade Collision Repair","US Automotive","Tracking","","07/22/2015 04:32 AM"
"CASCADE HONDA","US Automotive","Deploying","","10/29/2014 05:37 AM"
"Cascade Subaru","US Automotive","Tracking","","11/14/2012 08:12 PM"
"Cassville Budget Inn MO","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Cassville Motor Inn Cassville, MO","Hotels","Cancelled","","11/05/2015 06:46 AM"
"CASTLE BUICK-GMC  INC.","US Automotive","Deploying","","10/06/2014 07:41 PM"
"Castle Chevrolet","US Automotive","Deploying","","05/17/2016 04:33 PM"
"Castle Inn & Suites Anaheim - 9173151","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Castle Motel","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Castriota Chevrolet","US Automotive","Deploying","","03/18/2015 03:43 AM"
"Castro Valley Inn Castro Valley","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Causley Hyundai Mazda","US Automotive","Live","","01/18/2016 09:52 AM"
"CAVENDER CADILLAC COMPANY","US Automotive","Deploying","","05/08/2016 07:12 PM"
"Cawood Honda","US Automotive","Live","","03/05/2014 07:34 AM"
"Cecil Clark Chevrolet","US Automotive","Tracking","","03/12/2014 08:27 PM"
"Cedar Lodge Motel","Hotels","Cancelled","","11/05/2015 06:50 AM"
"Cedar Park Inn Suites North Stonington","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Cedars Inn Ellensburg","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Cedars Inn Kennewick","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Cedars Inn Kennewick","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Cedars Ocean View Inn Long Beach - 66475762","Hotels","Cancelled","","01/05/2015 06:41 AM"
"Cedarwood Inn Ashland","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Cedarwood Inn of Ashland","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Celebration Suites","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Celebration Suites Kissimmee - 53413116","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Celebration suites  kissimmee fl","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Celebration suites kissimmee fl","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Celebrity Hotel and Casino Deadwood","Hotels","Cancelled","","11/05/2015 07:01 AM"
"Centennial Chrysler Dodge Jeep Ram","US Automotive","Tracking","","02/24/2014 07:51 PM"
"Centennial Imports Inc.","US Automotive","Tracking","","03/12/2012 08:50 PM"
"Centennial Imports, Inc.","US Automotive","Tracking","","02/03/2016 09:40 PM"
"Center BMW","US Automotive","Deploying","","07/12/2015 10:04 PM"
"Center For Foot & Ankle Surgery","Medical","Tracking","","05/17/2012 02:06 AM"
"Centerstone Inn Newport News","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Central Ave Nissan","US Automotive","Tracking","",""
"Central Avenue Chrysler Jeep","US Automotive","Tracking","","10/04/2012 08:46 PM"
"CENTRAL CADILLAC","US Automotive","Deploying","","05/08/2016 07:29 PM"
"Central Chevrolet Company","US Automotive","Deploying","","04/07/2015 10:50 PM"
"Central Florida Chrysler Jeep Dodge","US Automotive","Tracking","","07/13/2014 11:29 PM"
"Central Florida Toyota","US Automotive","Tracking","",""
"CENTRAL HOUSTON CADILLAC","US Automotive","Deploying","","05/08/2016 07:44 PM"
"Central Kia of Irving","US Automotive","Deploying","","08/20/2014 04:57 AM"
"Central Kia of Lewisville","US Automotive","Deploying","","08/19/2014 02:30 AM"
"Central Maine Chrysler Dodge Jeep Ram","US Automotive","Tracking","","03/31/2013 08:01 PM"
"Central Moving Systems","Moving Companies","Tracking","",""
"Central Texas Powersports","Powersports","Tracking","",""
"Central Valley Nissan","US Automotive","Deploying","","10/19/2015 08:59 PM"
"Central Valley Volkswagen","US Automotive","Tracking","","08/11/2014 08:13 PM"
"Central Van & Storage","Moving Companies","Tracking","","06/06/2012 09:02 PM"
"Century 3 Chevrolet Inc","US Automotive","Tracking","","01/27/2013 11:04 PM"
"Century 3 Kia","US Automotive","Deploying","","09/15/2016 06:06 PM"
"Century Automotive","US Automotive","Tracking","","04/09/2014 02:47 AM"
"Century Buick GMC","US Automotive","Deploying","","03/18/2015 10:12 PM"
"Century Chevrolet","US Automotive","Deploying","","07/27/2015 02:09 AM"
"Century Volvo","US Automotive","Tracking","","02/04/2016 06:41 PM"
"Cerritos Dodge Chrysler Jeep","US Automotive","Tracking","","04/06/2014 11:44 PM"
"Cerritos Hyundai","US Automotive","Tracking","","08/10/2014 10:11 PM"
"Cerritos Infiniti","US Automotive","Deploying","","10/22/2014 08:24 AM"
"Cerritos Nissan","US Automotive","Tracking","","04/28/2013 07:43 PM"
"Certified Motors","US Automotive","Deploying","","04/28/2016 04:09 AM"
"Chad Kasperowski, DMD","Dentist","Live","","08/08/2013 09:35 AM"
"Chalet Motel St. George","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Chambers Motorcars of Natick","US Automotive","Deploying","","08/31/2016 06:31 PM"
"Champagne Motor Car Company","US Automotive","Deploying","","04/28/2016 04:15 AM"
"Champion Buick GMC","US Automotive","Deploying","","06/01/2015 09:23 PM"
"Champion Chevrolet Cadillac","US Automotive","Live","","02/13/2015 11:01 AM"
"Champion Dodge Jeep Chrysler Ram","US Automotive","Tracking","","04/07/2014 01:40 AM"
"Champion Ford Lincoln","US Automotive","Live","","06/28/2012 06:01 AM"
"Champion Ford Lincoln Mazda","US Automotive","Deploying","","11/19/2014 03:30 AM"
"Champion Mazda","US Automotive","Deploying","","04/28/2016 04:30 AM"
"Champion Mitsubishi Gulf","US Automotive","Tracking","",""
"Champion Motorcycles","Powersports","Cancelled","","09/21/2012 04:42 AM"
"Champion Owensboro Ford Lincoln Mazda","US Automotive","Deploying","","07/07/2015 07:51 PM"
"Champion Porsche","US Automotive","Tracking","","04/19/2012 07:15 PM"
"Champions world resort  kissimmee","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Champions World Resort Kissimmee - 9185742","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Champions world resort kissimmee fl","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Chandler Harley-Davidson","US Automotive","Tracking","",""
"Chandler Nissan","US Automotive","Tracking","","11/05/2013 08:09 PM"
"Chapman Acura in Tucson","US Automotive","Tracking","","06/27/2012 08:25 PM"
"Chapman BMW","US Automotive","Tracking","","06/27/2012 08:19 PM"
"Chapman BMW on Camelback","US Automotive","Tracking","","06/27/2012 08:11 PM"
"Chapman Chevrolet","US Automotive","Tracking","","06/27/2012 08:21 PM"
"Chapman Dodge Chrysler Jeep Ram","US Automotive","Tracking","","06/27/2012 08:11 PM"
"Chapman Ford Scottsdale","US Automotive","Tracking","","06/27/2012 08:19 PM"
"Chapman Honda Tucson","US Automotive","Tracking","","06/27/2012 08:17 PM"
"CHAPMAN HONDA TUCSON","US Automotive","Deploying","","10/21/2014 08:22 AM"
"Chapman Hyundai Phoenix","US Automotive","Tracking","","06/27/2012 08:22 PM"
"Chapman Mazda","US Automotive","Tracking","","06/27/2012 08:20 PM"
"Chapman Mesa Used Cars","US Automotive","Tracking","","06/27/2012 08:15 PM"
"Chapman Mitsubishi Phoenix","US Automotive","Tracking","","06/27/2012 08:12 PM"
"Chapman Palo Verde Used Cars","US Automotive","Tracking","","06/27/2012 08:14 PM"
"Chapman Payson Auto Center","US Automotive","Tracking","","06/27/2012 08:13 PM"
"Chapman Scottsdale Hyundai","US Automotive","Tracking","","06/27/2012 08:13 PM"
"Chapman Used Cars on Speedway","US Automotive","Tracking","","06/27/2012 08:15 PM"
"Chapman Volkswagon of Tucson","US Automotive","Tracking","","06/27/2012 08:24 PM"
"Chapman VW Scottsdale","US Automotive","Tracking","","06/27/2012 08:21 PM"
"Charbonneau Car Center","US Automotive","Deploying","","02/15/2015 08:26 PM"
"Charles Maund Toyota","US Automotive","Live","","09/13/2016 07:36 AM"
"Charleston Plaza Hotel Charleston","Hotels","Cancelled","","11/05/2015 07:02 AM"
"Charmaine's Account","US Automotive","Deploying","","01/20/2016 10:09 AM"
"Charter Club Resort-Naples Bay","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Charter Hotel Tulare","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Charter Inn and Suites Tulare","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Chase Chevrolet","US Automotive","Tracking","","01/22/2014 08:06 PM"
"Chastang Ford","US Automotive","Tracking","","05/23/2012 04:11 AM"
"Chatauqua Lodge Long Beach","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Chateau Resort & Conference Center","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Chatham Parkway Scion","US Automotive","Deploying","","05/04/2016 02:10 PM"
"Chatham Parkway Toyota","US Automotive","Cancelled","","09/27/2016 04:08 AM"
"Chattanooga Volvo","US Automotive","Tracking","","02/02/2016 11:49 PM"
"Chelsea Chevrolet","US Automotive","Tracking","","04/03/2014 06:58 PM"
"Chelsea Chevrolet Buick","US Automotive","Deploying","","06/01/2015 10:14 PM"
"Cherokee County","US Automotive","Tracking","","04/01/2014 11:29 PM"
"Cherokee Ford Lincoln","US Automotive","Deploying","","05/02/2016 02:45 AM"
"Cherry Creek Dodge","US Automotive","Tracking","","02/24/2014 07:53 PM"
"Cherry Hill Classic Cars","US Automotive","Cancelled","","08/22/2014 04:51 AM"
"Cherry Hill Dodge Chrysler Jeep","US Automotive","Tracking","","05/08/2012 09:06 PM"
"Cherry Hill Imports Auto Group","US Automotive","Tracking","",""
"CHERRY HILL NISSAN","US Automotive","Tracking","","05/08/2012 09:15 PM"
"Cherry Hill Volvo Cars","US Automotive","Tracking","",""
"Chesapeake Beach Resort & Spa - 66390857","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Chesapeake Jaguar","US Automotive","Tracking","","10/16/2013 08:46 PM"
"Chesrown Chevrolet Buick GMC","US Automotive","Tracking","",""
"Chestnut Tree Inn  Portland","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Chestnut Tree Inn Portland - 53624845","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Chevrolet 21 Inc","US Automotive","Live","","01/28/2014 08:26 AM"
"Chevrolet Buick GMC Cadillac of Murfreesboro","US Automotive","Deploying","","09/18/2016 05:47 PM"
"Chevrolet Buick GMC of Fairbanks","US Automotive","Live","","08/13/2014 07:46 AM"
"CHEVROLET CADILLAC OF BELLEVUE","US Automotive","Deploying","","05/08/2016 08:03 PM"
"Chevrolet Cadillac of Bellingham","US Automotive","Cancelled","","02/11/2016 06:15 AM"
"Chevrolet Cadillac of Bend","US Automotive","Live","","02/03/2015 10:49 AM"
"Chevrolet Cadillac of Santa Fe","US Automotive","Deploying","","11/06/2015 03:49 AM"
"Chevrolet Hummer Cadillac of Turnersville","US Automotive","Tracking","",""
"Chevrolet of Delano","US Automotive","Live","","01/28/2016 07:24 AM"
"Chevrolet of Gadsden","US Automotive","Live","","02/06/2014 04:01 AM"
"Chevrolet of Milford","US Automotive","Deploying","","01/22/2015 10:38 PM"
"CHEVROLET OF NAPERVILLE","US Automotive","Tracking","","10/05/2014 09:58 PM"
"Chevrolet of South Anchorage","US Automotive","Live","","09/26/2014 06:33 AM"
"Chevrolet of Twin Falls","US Automotive","Live","","08/12/2014 07:44 AM"
"Chevrolet of Wasilla","US Automotive","Live","","08/12/2014 08:29 AM"
"Chevrolet of Wesley Chapel","US Automotive","Deploying","","10/29/2014 04:25 AM"
"Chevrolet Wesley Chapel","US Automotive","Deploying","","03/18/2015 02:07 AM"
"Chicago Northside Toyota","US Automotive","Tracking","",""
"Chico Nissan Hyundai","US Automotive","Deploying","","08/18/2014 06:30 AM"
"Chris Leith Dodge","US Automotive","Tracking","",""
"Chris Leith Kia/Imports","US Automotive","Tracking","",""
"Chris Mahr, MD","Medical","Cancelled","","05/09/2013 06:28 AM"
"Christopher J. Oldfield, MD","Medical","Cancelled","","05/09/2013 06:33 AM"
"Chrysler Jeep Dodge of Paramus","US Automotive","Tracking","","10/04/2012 08:42 PM"
"Chrysler of Lawrenceburg","US Automotive","Live","","01/06/2016 09:09 AM"
"Chuck Barber Mitsubishi","US Automotive","Tracking","","06/09/2013 08:16 PM"
"Chuck Hutton Chevrolet","US Automotive","Deploying","","04/07/2015 10:25 PM"
"CHUCK OLSON KIA","US Automotive","Deploying","","03/31/2015 08:42 PM"
"Chuck Patterson Toyota","US Automotive","Tracking","","09/02/2014 12:42 AM"
"Cimarron Inn Little Rock - 66259285","Hotels","Cancelled","","10/27/2014 02:22 AM"
"Circle Auto Group","US Automotive","Tracking","",""
"Citrus Cycle Center","Powersports","Cancelled","","07/18/2012 08:12 AM"
"CITRUS KIA","US Automotive","Deploying","","04/02/2015 02:50 AM"
"CITY CADILLAC BUICK GMC","US Automotive","Deploying","","05/08/2016 08:20 PM"
"City Center Inn & Suites San Francisco - 53618200","Hotels","Cancelled","","02/04/2014 07:28 AM"
"City Center Motel Missoula","Hotels","Cancelled","","11/05/2015 06:50 AM"
"City Center Motel Seaside","Hotels","Cancelled","","11/05/2015 07:01 AM"
"City Centre Travelodge Inn And Suites","Hotels","Cancelled","","11/05/2015 06:53 AM"
"CityFlats Holland MI","Hotels","Cancelled","","11/05/2015 06:47 AM"
"CityFlatsHotel Grand Rapids MI","Hotels","Cancelled","","11/05/2015 06:47 AM"
"City Kia Orlando","US Automotive","Deploying","","05/05/2015 07:17 PM"
"Cityside Subaru","US Automotive","Tracking","",""
"Civic Center Inn San Francisco","Hotels","Cancelled","","11/05/2015 06:49 AM"
"CJ Wilson Mazda","US Automotive","Deploying","","01/02/2015 01:30 PM"
"CJ Wilson Mazda - Orland Park","US Automotive","Deploying","","08/21/2014 03:30 PM"
"Clackamas Inn","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clairion Inn Romulus MI","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Clarion Brunswick","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Clarion Charlotte Airport","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Clearwater","Hotels","Cancelled","","11/05/2015 06:50 AM"
"Clarion Cookeville","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Clarion East Windsor","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Clarion Hotel Amarillo","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Hotel  Anaheim","Hotels","Cancelled","","11/05/2015 06:53 AM"
"Clarion Hotel Batavia","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Hotel - Beachwood","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Clarion Hotel Bristol - 56376816","Hotels","Cancelled","","05/01/2013 12:14 AM"
"Clarion Hotel Bristol CT","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Hotel & Conference Center","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Hotel & Conference Center Busch Gardens- 53528108","Hotels","Cancelled","","05/02/2013 09:39 AM"
"Clarion Hotel Essington","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Hotel Federal Way","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Hotel Milwaukee Airport","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Clarion Hotel Monterey","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Clarion Hotel National City","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Hotel near Busch Gardens 71352206","Hotels","Cancelled","","11/05/2015 07:02 AM"
"Clarion Hotel - New Kensington","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Hotel New York - 38233969","Hotels","Cancelled","","09/12/2014 04:23 AM"
"Clarion Hotel Portland - 9211672","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Clarion Hotel Portland Airport","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Clarion Hotel Renton - 2777981","Hotels","Cancelled","","09/05/2013 09:07 AM"
"Clarion Hotel Seattle Airport Seatac","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Hotel Stuart","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Hotel & Suites Hamden CT","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Hotel Tampa","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Hotel Waco","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Hotel Waterbury CT","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Hotel West Springfield","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Inn","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Clarion Inn and Conference Center","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Clarion Inn Blythe - 66532798","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Clarion Inn Brunswick","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Inn Chatanooga","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Inn Colorado Springs","Hotels","Cancelled","","11/05/2015 06:53 AM"
"Clarion Inn East Windsor - 9179676","Hotels","Cancelled","","05/02/2013 09:42 AM"
"Clarion Inn Fredericksburg  - 9264555","Hotels","Cancelled","","09/12/2014 04:24 AM"
"Clarion Inn Greenville - 62472855","Hotels","Cancelled","","11/05/2015 07:01 AM"
"Clarion Inn Knoxville","Hotels","Cancelled","","11/05/2015 07:01 AM"
"Clarion Inn Lake Buena Vista","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Clarion Inn Martha's Vineyard","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Inn Mesa","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Inn - Mesa/Phoenix  Mesa","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Inn Mount Pleasant - 9243383","Hotels","Cancelled","","11/05/2015 06:56 AM"
"Clarion Inn Mount Pleasant - 9243383 - DO NOT USE","Hotels","Cancelled","","01/22/2015 06:14 AM"
"Clarion Inn New London CT","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Inn New Orleans West Bank","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Clarion Inn Pigeon Forge","Hotels","Cancelled","","11/05/2015 07:00 AM"
"Clarion Inn Pocatello","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Clarion Inn Seekonk MA","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Inn South Yarmouth","Hotels","Cancelled","","11/05/2015 06:44 AM"
"Clarion Inn & Suites Clearwater","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Clarion Inn & Suites Stockton - 9175659","Hotels","Cancelled","","01/05/2015 05:48 AM"
"Clarion Inn & Suites Wichita - 9204886","Hotels","Cancelled","","01/05/2015 06:40 AM"
"Clarion Inn Universal","Hotels","Cancelled","","11/05/2015 06:50 AM"
"Clarion Inn Universal Studios 68901956","Hotels","Cancelled","","02/04/2014 07:31 AM"
"Clarion Inn Valdosta","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion Inn Virginia Beach","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion New Haven","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clarion Secaucus","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Clarion West Memphis Hotel - 66263081","Hotels","Cancelled","","02/12/2015 06:03 AM"
"Clarion Winston-Salem","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Clarks Motel Geneva","Hotels","Cancelled","","11/05/2015 06:57 AM"
"Clason Buick GMC","US Automotive","Live","","01/29/2014 10:49 AM"
"Classic BMW","US Automotive","Deploying","","10/08/2014 10:33 PM"
"CLASSIC CADILLAC","US Automotive","Deploying","","05/08/2016 08:37 PM"
"Classic Cars Chevrolet","US Automotive","Cancelled","","02/06/2013 03:31 AM"
"Classic Cars Nissan","US Automotive","Cancelled","","06/02/2014 03:43 AM"
"Classic Chevrolet","US Automotive","Tracking","","05/10/2015 11:23 PM"
"Classic Chevrolet Buick Pontiac GMC","US Automotive","Tracking","","12/16/2013 10:28 AM"
"Classic Chevrolet OWASSO","US Automotive","Tracking","","01/26/2014 10:25 PM"
"Classic Chevrolet Sugar Land","US Automotive","Cancelled","","01/02/2015 09:08 AM"
"Classic Ford","US Automotive","Deploying","","11/09/2015 09:11 PM"
"Classic Honda","US Automotive","Deploying","","06/08/2015 08:22 PM"
"Classic Hyundai","US Automotive","Tracking","","04/10/2014 07:42 PM"
"Classic Inn Panama City","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Classic Inn Red Bluff","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Classic Kia","US Automotive","Tracking","","07/22/2013 08:55 PM"
"Classic Mazda","US Automotive","Tracking","","03/11/2013 06:59 PM"
"Classic Mazda Orlando","US Automotive","Tracking","","05/29/2014 02:58 AM"
"Classic Volkswagen","US Automotive","Tracking","","03/11/2013 06:59 PM"
"Claude Nolan Cadillac","US Automotive","Deploying","","07/19/2015 07:55 PM"
"Clawson Honda","US Automotive","Deploying","","10/19/2015 11:04 PM"
"CLAWSON HONDA OF FRESNO","US Automotive","Deploying","","10/15/2014 09:58 PM"
"Clay Chevrolet","US Automotive","Deploying","","04/28/2015 08:24 PM"
"Clay Chevrolet Hyundai","US Automotive","Tracking","",""
"Clay Lowder, MD","Medical","Cancelled","","05/09/2013 06:27 AM"
"Clay Nissan of Newton","US Automotive","Tracking","",""
"Clay Nissan of Norwood","US Automotive","Tracking","","06/22/2015 01:51 PM"
"Clay Subaru","US Automotive","Tracking","",""
"Clayton Motors","US Automotive","Tracking","","02/03/2016 05:55 PM"
"Clear Lake Dodge","US Automotive","Tracking","","06/21/2012 06:44 PM"
"Clear Lake Infiniti","US Automotive","Deploying","","11/06/2014 07:13 PM"
"Clearwater River Casino and Hotel  Lewiston","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Clift Buick GMC","US Automotive","Live","","01/28/2014 07:50 AM"
"Clint Newell Motors","US Automotive","Tracking","","08/21/2014 02:22 AM"
"Clinton Newell Auto Group","US Automotive","Tracking","","09/17/2014 03:54 AM"
"Clover Island Kennewick","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Clubhouse Hotel & Suites Sioux Falls","Hotels","Cancelled","","11/05/2015 06:54 AM"
"Coastal Cadillac Chevy Nissan","US Automotive","Tracking","","07/29/2013 09:00 AM"
"Coastal Chevrolet","US Automotive","Live","","02/15/2016 09:08 AM"
"Coastal Hyundai","US Automotive","Cancelled","","01/15/2013 03:22 AM"
"Coastal Mitsubishi","US Automotive","Cancelled","","01/15/2013 03:22 AM"
"Coastal Nissan","US Automotive","Tracking","",""
"Coastal Property Services Inc","US Automotive","Tracking","",""
"Coast Cadillac","US Automotive","Tracking","",""
"Coast Infiniti","US Automotive","Tracking","","01/15/2015 09:49 PM"
"COAST NISSAN","US Automotive","Tracking","","08/25/2014 02:52 AM"
"Coastview Inn","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Coastview Inn Santa Cruz - 9166218","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Cobb County Kia","US Automotive","Deploying","","12/06/2015 05:11 PM"
"Cobb County Toyota","US Automotive","Tracking","","04/01/2014 04:48 AM"
"Coccas Inn & Suites Albany","Hotels","Cancelled","","11/05/2015 06:55 AM"
"Cocca's Inn & Suites Albany - 9230355","Hotels","Cancelled","","11/05/2015 06:58 AM"
"Cochran Robinson Buick GMC","US Automotive","Deploying","","05/06/2015 01:54 AM"
"Coco Key Hotel & Water Resort","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Coconut Creek Automall","US Automotive","Deploying","","06/25/2016 04:30 AM"
"Coconut Creek Hyundai","US Automotive","Tracking","","02/28/2013 06:51 PM"
"Coconut Palm Inn","Hotels","Cancelled","","11/05/2015 06:49 AM"
"Coconut Point Ford","US Automotive","Tracking","",""
"Coco's Bakery Restaurant","Restaurants","Tracking","","05/02/2013 07:51 AM"
"Cocusa Motel Burlington - 2776857","Hotels","Cancelled","","11/05/2015 06:44 AM"
"COEUR D'ALENE HONDA","US Automotive","Deploying","","10/27/2014 09:50 PM"
"Coffman GMC","US Automotive","Live","","01/24/2014 07:15 AM"
"Cofmort Inn  Dimondale, MI","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Coggin Acura","US Automotive","Tracking","","12/05/2012 09:39 PM"
"Coggin BMW Treasurecoast","US Automotive","Tracking","","12/05/2012 09:40 PM"
"Coggin Chevrolet at the Avenues","US Automotive","Tracking","","12/05/2012 09:41 PM"
"Coggin Deland Ford","US Automotive","Tracking","","12/05/2012 09:42 PM"
"Coggin Deland Honda","US Automotive","Tracking","","12/05/2012 09:44 PM"
"Coggin DeLand Hyundai","US Automotive","Deploying","","03/30/2016 07:07 PM"
"Coggin Deland Lincoln","US Automotive","Tracking","","12/05/2012 09:43 PM"
"Coggin Ford","US Automotive","Deploying","","03/07/2016 04:27 PM"
"Coggin GMC/Buick of Orange Park","US Automotive","Tracking","","12/05/2012 09:53 PM"
"Coggin Honda","US Automotive","Tracking","","12/05/2012 09:45 PM"
"Coggin Honda of Ft. Pierce","US Automotive","Tracking","","12/05/2012 09:48 PM"
"Coggin Honda of Orlando","US Automotive","Tracking","","12/05/2012 09:49 PM"
"Coggin Honda St. Augustine","US Automotive","Tracking","","12/05/2012 09:50 PM"
"Coggin Nissan","US Automotive","Tracking","","12/05/2012 09:52 PM"
